name,address,type
InfoEffectObjectManagerBase_dtor,0x0046F020,function
InfoEffectObjectManagerBase_scalar_deleting_destructor,0x0046F4E0,function
InfoEffectManagerSpawnView_load_effect_resource_and_preallocate_46f900,0x0046F900,function
CriticalSectionWrapper_ctor,0x0040ABC0,function
CriticalSectionWrapper_scalar_deleting_destructor,0x0040ABE0,function
CriticalSectionWrapper_dtor,0x0040AC10,function
InfoEffectObject_HandleManager_ctor,0x0046EDB0,function
InfoEffectObject_HandleManager_dtor,0x0046EC80,function
InfoEffectObject_HandleManager_scalar_deleting_destructor,0x0046ED90,function
ReimuObject_HandleManager_ctor,0x004932B0,function
ReimuObject_HandleManager_dtor,0x00492FE0,function
ReimuObject_HandleManager_scalar_deleting_destructor,0x004930F0,function
MarisaObject_HandleManager_ctor,0x004B9890,function
MarisaObject_HandleManager_dtor,0x004B95A0,function
MarisaObject_HandleManager_scalar_deleting_destructor,0x004B96B0,function
SakuyaObject_HandleManager_ctor,0x004DEDB0,function
SakuyaObject_HandleManager_dtor,0x004DEAC0,function
SakuyaObject_HandleManager_scalar_deleting_destructor,0x004DEBD0,function
AliceObject_HandleManager_ctor,0x004FA5A0,function
AliceObject_HandleManager_dtor,0x004FA250,function
AliceObject_HandleManager_scalar_deleting_destructor,0x004FA360,function
PatchouliObject_HandleManager_ctor,0x0051E860,function
PatchouliObject_HandleManager_dtor,0x0051E570,function
PatchouliObject_HandleManager_scalar_deleting_destructor,0x0051E680,function
YoumuObject_HandleManager_ctor,0x0053AC20,function
YoumuObject_HandleManager_dtor,0x0053A930,function
YoumuObject_HandleManager_scalar_deleting_destructor,0x0053AA40,function
RemiliaObject_HandleManager_ctor,0x00555970,function
RemiliaObject_HandleManager_dtor,0x00555680,function
RemiliaObject_HandleManager_scalar_deleting_destructor,0x00555790,function
YuyukoObject_HandleManager_ctor,0x0056D650,function
YuyukoObject_HandleManager_dtor,0x0056D2A0,function
YuyukoObject_HandleManager_scalar_deleting_destructor,0x0056D3B0,function
