address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x004030F0,153,0x00403188,FUN_004030f0,,,unclassified,0.00,unknown,undefined FUN_004030f0(void),false,,,,
0x00403190,943,0x0040353E,FUN_00403190,,,unclassified,0.00,unknown,undefined FUN_00403190(void),false,,,,
0x00403540,806,0x00403865,FUN_00403540,,,unclassified,0.00,unknown,undefined FUN_00403540(void),false,,,,
0x00403870,199,0x00403936,FUN_00403870,,,unclassified,0.00,unknown,undefined FUN_00403870(void),false,,,,
0x00403940,148,0x004039D3,FUN_00403940,,,unclassified,0.00,unknown,undefined FUN_00403940(void),false,,,,
0x004039E0,133,0x00403A64,FUN_004039e0,,,unclassified,0.00,unknown,undefined FUN_004039e0(void),false,,,,
0x00403A70,417,0x00403C30,FUN_00403a70,,,unclassified,0.00,unknown,undefined FUN_00403a70(void),false,,,,
0x00403C40,28,0x00403C5B,FUN_00403c40,,,unclassified,0.00,unknown,undefined FUN_00403c40(void),false,,,,
0x00403C60,351,0x00403DBE,FUN_00403c60,,,unclassified,0.00,unknown,undefined FUN_00403c60(void),false,,,,
0x00403DC0,143,0x00403E4E,FUN_00403dc0,,,unclassified,0.00,unknown,undefined FUN_00403dc0(void),false,,,,
0x00403E50,98,0x00403EB1,FUN_00403e50,,,unclassified,0.00,unknown,undefined FUN_00403e50(void),false,,,,
0x00403EC0,70,0x00403F05,FUN_00403ec0,,,unclassified,0.00,unknown,undefined FUN_00403ec0(void),false,,,,
0x00403F10,69,0x00403F54,FUN_00403f10,,,unclassified,0.00,unknown,undefined FUN_00403f10(void),false,,,,
0x00403F60,73,0x00403FA8,FUN_00403f60,,,unclassified,0.00,unknown,undefined FUN_00403f60(void),false,,,,
0x00403FB0,284,0x004040CB,FUN_00403fb0,,,unclassified,0.00,unknown,undefined FUN_00403fb0(void),false,,,,
0x00404110,316,0x00404255,FUN_00404110,,,unclassified,0.00,unknown,undefined FUN_00404110(void),false,,,,
0x00404260,442,0x0040442C,FUN_00404260,,,unclassified,0.00,unknown,undefined FUN_00404260(void),false,,,,
0x00404450,133,0x004044D4,FUN_00404450,,,unclassified,0.00,unknown,undefined FUN_00404450(void),false,,,,
0x004044E0,190,0x004045AA,FUN_004044e0,,,unclassified,0.00,unknown,undefined FUN_004044e0(void),false,,,,
0x00404600,5,0x00404604,thunk_FUN_00408900,,,unclassified,0.00,unknown,undefined thunk_FUN_00408900(void),true,,,,
0x00404610,27,0x0040462D,FUN_00404610,,,unclassified,0.00,unknown,undefined FUN_00404610(void),false,,,,
0x00404630,401,0x004047C0,FUN_00404630,,,unclassified,0.00,unknown,undefined FUN_00404630(void),false,,,,
0x004047D0,184,0x00404887,FUN_004047d0,,,unclassified,0.00,unknown,undefined FUN_004047d0(void),false,,,,
0x00404890,196,0x00404953,FUN_00404890,,,unclassified,0.00,unknown,undefined FUN_00404890(void),false,,,,
0x00404960,32,0x0040497F,FUN_00404960,,,unclassified,0.00,unknown,undefined FUN_00404960(void),false,,,,
0x00404980,137,0x00404A08,FUN_00404980,,,unclassified,0.00,unknown,undefined FUN_00404980(void),false,,,,
0x00404A10,256,0x00404B0F,FUN_00404a10,,,unclassified,0.00,unknown,undefined FUN_00404a10(void),false,,,,
0x00404B70,121,0x00404BE8,FUN_00404b70,,,unclassified,0.00,unknown,undefined FUN_00404b70(void),false,,,,
