address,origin,subsystem,disposition,confidence,evidence_id
0x0040EE50,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040EF50,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040F050,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040F100,unknown,,review,unknown,
0x0040F1A0,unknown,,review,unknown,
0x0040F210,unknown,,review,unknown,
0x0040F2B0,unknown,,review,unknown,
0x0040F2C0,unknown,,review,unknown,
0x0040F320,unknown,,review,unknown,
0x0040F360,unknown,,review,unknown,
0x0040F3B0,unknown,,review,unknown,
0x0040F4B0,unknown,,review,unknown,
0x0040F5C0,unknown,,review,unknown,
0x0040F620,unknown,,review,unknown,
0x0040F780,authored_game,assets,include_authored,inferred,ledger-authored-module
0x0040F800,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040F960,authored_game,ui,include_authored,inferred,ledger-authored-module
0x0040FA00,unknown,,review,unknown,
0x0040FB00,unknown,,review,unknown,
0x0040FB60,unknown,,review,unknown,
0x0040FBE0,unknown,,review,unknown,
0x0040FC40,unknown,,review,unknown,
0x0040FC70,unknown,,review,unknown,
0x0040FCD0,unknown,,review,unknown,
0x0040FD30,unknown,,review,unknown,
0x0040FDA0,unknown,,review,unknown,
0x0040FE10,unknown,,review,unknown,
0x0040FEF8,unknown,,review,unknown,
0x0040FF10,unknown,,review,unknown,
0x0040FF70,unknown,,review,unknown,
0x004103BB,unknown,,review,unknown,
0x00410767,unknown,,review,unknown,
0x00410790,unknown,,review,unknown,
0x004107F0,unknown,,review,unknown,
0x00410840,unknown,,review,unknown,
0x004108B0,unknown,,review,unknown,
0x00410930,unknown,,review,unknown,
0x004109B0,unknown,,review,unknown,
0x00410A70,unknown,,review,unknown,
0x00410B30,unknown,,review,unknown,
0x00410BF0,unknown,,review,unknown,
0x00410CA0,unknown,,review,unknown,
0x00410DA0,unknown,,review,unknown,
0x00410E30,unknown,,review,unknown,
0x00410F10,unknown,,review,unknown,
0x00411100,unknown,,review,unknown,
0x00411310,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00411440,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004114F0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00411720,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004118D0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00411F80,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004120B0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004121E0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00412210,vc8_runtime,runtime,exclude_authored,observed,ledger-library
0x00412240,vc8_runtime,runtime,exclude_authored,observed,ledger-library
0x00412270,unknown,runtime,review,unknown,
0x004122D0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00412310,unknown,,review,unknown,
0x004123C0,unknown,,review,unknown,
0x00412520,unknown,,review,unknown,
0x00412540,unknown,,review,unknown,
0x00412550,unknown,,review,unknown,
0x00412560,unknown,,review,unknown,
0x004126B0,unknown,,review,unknown,
0x00412860,unknown,,review,unknown,
0x00412910,unknown,,review,unknown,
0x00412960,unknown,,review,unknown,
0x00412A00,unknown,,review,unknown,
0x00412BF0,unknown,,review,unknown,
0x00412C20,unknown,,review,unknown,
0x00412CB0,unknown,,review,unknown,
0x00412F70,unknown,,review,unknown,
0x00412FD0,unknown,,review,unknown,
0x00413000,unknown,,review,unknown,
0x00413010,unknown,,review,unknown,
0x004130B0,unknown,,review,unknown,
0x00413120,unknown,,review,unknown,
0x00413140,unknown,,review,unknown,
0x00413160,unknown,,review,unknown,
0x004131B0,unknown,,review,unknown,
0x004131D0,unknown,,review,unknown,
0x00413210,unknown,,review,unknown,
0x00413290,unknown,,review,unknown,
0x004132D0,authored_game,battle,include_authored,inferred,ledger-authored-module
0x00413340,unknown,,review,unknown,
0x00413410,unknown,,review,unknown,
0x00413490,unknown,,review,unknown,
0x004134F0,unknown,,review,unknown,
0x00413550,unknown,,review,unknown,
0x00413620,unknown,,review,unknown,
0x00413640,unknown,,review,unknown,
0x004137B9,unknown,,review,unknown,
0x00413890,unknown,,review,unknown,
0x00413B60,unknown,,review,unknown,
0x00413BA0,unknown,,review,unknown,
0x00413C10,unknown,,review,unknown,
0x00413C50,unknown,,review,unknown,
0x00413CA0,unknown,,review,unknown,
0x00413CD0,unknown,,review,unknown,
0x00413D00,unknown,,review,unknown,
0x00413D40,unknown,,review,unknown,
0x00413DA0,unknown,,review,unknown,
0x00413DD0,unknown,,review,unknown,
0x00413E00,unknown,,review,unknown,
0x00413E10,unknown,,review,unknown,
0x00413E20,unknown,,review,unknown,
0x00413E60,unknown,,review,unknown,
0x00413EB0,unknown,,review,unknown,
0x00413ED0,unknown,,review,unknown,
0x00413F00,unknown,,review,unknown,
0x00413F90,unknown,,review,unknown,
0x00414000,unknown,,review,unknown,
0x00414230,unknown,,review,unknown,
0x00414350,unknown,,review,unknown,
0x00414470,unknown,,review,unknown,
0x004144D0,unknown,,review,unknown,
0x00414570,unknown,,review,unknown,
0x00414600,unknown,,review,unknown,
0x004146A0,unknown,,review,unknown,
